,DATE,PRICE,Volume,RETURN_1,RETURN_5,RETURN_10,RETURN_21
0,2004-09-29,49.970001,900,0.009005343025708434,0.05223135777003485,-0.0008005002841605657,-0.004602741552876988
1,2004-09-30,50.419998,4500,0.012891749817205422,0.03312181805322578,-0.00039658867102687623,-0.0013883380161974213
2,2004-10-01,51.07,6700,0.0009790287840218959,0.022518131975719724,-0.011748560798903407,-0.01860193851576264
3,2004-10-04,51.119999,6800,0.009194072949805898,0.011345892240725686,-0.02230045035799011,-0.03501559145179167
4,2004-10-05,51.59,8600,0.019189804225625107,-0.007559585190928586,-0.03585962395813158,-0.022097286295793772
5,2004-10-06,52.580002,14400,-0.009319170432895652,-0.050399427523795115,-0.035374684846911864,-0.026055590488566316
6,2004-10-07,52.09,16500,0.0024956997504319567,-0.03244380879247466,-0.016509886734498158,-0.013438299097715545
7,2004-10-08,52.220001,6600,-0.009957870356992249,-0.033512063701415906,-0.018958272329408943,-0.03312904953793483
8,2004-10-11,51.700001,10200,-0.00967117969688236,-0.03326887749963492,-0.013539670917994795,-0.02804644046331839
9,2004-10-12,51.200001,1000,-0.02480470654678313,-0.028515604911804604,0.00742189438629115,-0.006835995960234431
10,2004-10-13,49.93,37700,0.009413218505908372,0.01582217103945527,0.014219887842980228,0.01822551572201081
11,2004-10-14,50.400002,3500,0.0013888689925052322,0.016468213632213624,-0.013095237575585839,0.02777771715167776
12,2004-10-15,50.470001,34600,-0.009708757485461628,0.015058430452576932,-0.002377709483302848,0.002575728104304842
13,2004-10-18,49.98,2000,-0.004801880752300924,0.020408163265306145,0.0028011004401762296,0.015406162464986162
14,2004-10-19,49.740002,400,0.019702431857562264,0.03699235878599283,-0.008242862555574382,0.03136302648319167
15,2004-10-20,50.720001,10600,0.010055185132981315,-0.0015773264673240028,-0.005323343743624975,0.02030755086144409
16,2004-10-21,51.23,14100,0.0,-0.029084481748975155,-0.00039041577200849,0.02088617997267228
17,2004-10-22,51.23,3800,-0.004489556900253655,-0.01717747413624826,0.003123150497755356,0.036306851454226186
18,2004-10-25,51.0,11700,0.01137258823529419,-0.0172549215686274,-0.009999960784313755,0.04823527450980403
19,2004-10-26,51.580002,1300,-0.0182241753305864,-0.04362155705228554,-0.025785225832290593,0.04672353444267019
20,2004-10-27,50.639999,34400,-0.017772452957592,-0.003751935303158316,0.004146899765933965,0.0742496657632239
21,2004-10-28,49.740002,1900,0.012263690701098229,0.029553617629529016,0.022114956891236215,0.08584631741671434
22,2004-10-29,50.349998,36500,-0.004568004153644667,0.020655432796640838,0.028798432127048024,0.0752731112322984
23,2004-11-01,50.119999,10400,-0.015762111248246446,0.00738234252558545,0.00957699540257373,0.05546694045225342
24,2004-11-02,49.330002,10400,0.022704215580611642,0.0186498674782134,0.028785687055111087,0.04317853058266663
25,2004-11-03,50.450001,11100,0.015064380276226474,0.007928582598045963,0.016848324740370124,0.02933595581098203
26,2004-11-04,51.209999,4000,0.0035149385572141867,-0.007225131951281605,0.010544835199078895,0.009763718214483852
27,2004-11-05,51.389999,13600,-0.017513076814809958,0.007978206031877821,0.01770772558294853,-0.009729519551070598
28,2004-11-08,50.490002,11800,-0.0047534559416336775,0.0021785699275671533,0.05149530396136659,0.010298989491028365
29,2004-11-09,50.25,31700,0.011940258706467644,0.00995024875621886,0.06388057711442796,0.024278626865671615
30,2004-11-10,50.849998,6800,-0.00019661751019139917,0.008849577535873232,0.0617503269125006,0.007669695483567107
31,2004-11-11,50.84,1800,0.0188827498033044,0.017899291896144698,0.07002364280094397,0.020062962234461024
32,2004-11-12,51.799999,14300,-0.023166042918263408,0.009652509838851575,0.04266407418270424,0.006949826388992664
33,2004-11-15,50.599998,5700,0.002964466520334552,0.04920952763674036,0.06996049683638339,0.042687748722836094
34,2004-11-16,50.75,3200,0.010837418719211733,0.053398995073891786,0.04236457142857142,0.029753655172413795
35,2004-11-17,51.299999,4200,0.008771949488731945,0.05243670667517941,0.003118908442863777,0.02046781716311541
36,2004-11-18,51.75,3800,0.010628000000000082,0.051207768115941965,0.003478260869565153,0.020289835748792173
37,2004-11-19,52.299999,8700,0.015105181933177558,0.032695966208335925,-0.011281070961397077,0.01931170209008992
38,2004-11-22,53.09,42800,0.006969278583537353,0.019777717084196622,-0.04143908457336598,-0.013185176116029429
39,2004-11-23,53.459999,3700,0.009914010660568628,-0.010475065665452088,-0.045828676502594035,-0.010475065665452088
40,2004-11-24,53.990002,5200,0.007593998607371866,-0.046860583557674085,-0.046675327035549885,-0.038896145993845166
41,2004-11-26,54.400002,7700,-0.007169190912897361,-0.045404446860130676,-0.05808823315852085,-0.04062505365349067
42,2004-11-29,54.009998,16000,0.002406980277984916,-0.0425846895976556,-0.039807388994904325,-0.027587447790685005
43,2004-11-30,54.139999,4300,-0.022903528313696575,-0.06002955411949673,-0.03657183296216915,-0.031954174952977143
44,2004-12-01,52.900002,5300,-0.027221227704301354,-0.035727862543370015,-0.0026465783498457185,-0.009262797381368815
45,2004-12-02,51.459999,16700,0.00913332703329428,0.0001943645587711984,0.015546036058026402,-0.017683638120552736
46,2004-12-03,51.93,1700,-0.0042364914307720936,-0.01328707875986912,0.008087772000770155,-0.03331405738494131
47,2004-12-06,51.709999,6800,-0.015857668069187203,0.0029008316167244974,0.02107909536026087,-0.03210210853030582
48,2004-12-07,50.889999,5100,0.0023580075134213008,0.02495580713216361,0.047553587100679584,-0.001178954631144813
49,2004-12-08,51.009998,8600,0.009017898804857927,0.03430699997282893,0.027053539582573505,-0.012350461178218475
50,2004-12-09,51.470001,7200,-0.004468602982929948,0.0153486882582341,0.027783193553852836,-0.013211579304224341
51,2004-12-10,51.240002,7500,0.01209990194770083,0.021662684556491785,0.012685342986520798,-0.007220979421507345
52,2004-12-13,51.860001,2600,0.005784785850659668,0.018125684185775537,0.006363247081310419,-0.003663767765835546
53,2004-12-14,52.16,12500,0.01150302914110446,0.022047565184049045,0.006901840490797673,-0.002108914877300583
54,2004-12-15,52.759998,2400,-0.009476876780776244,-0.007012869864020832,-0.006633775839036349,-0.007581444563360407
55,2004-12-16,52.259998,11100,0.0017221585044835397,0.012246537016706416,0.0028703024443283986,0.009758936462263224
56,2004-12-17,52.349998,6600,0.008596007969283948,-0.00878699173971309,-0.03438393636614845,0.009933161793052925
57,2004-12-20,52.799999,6700,0.009659128970816777,-0.011553030521837648,-0.049242387296257295,-0.006060587235996007
58,2004-12-21,53.310001,7900,-0.01725758737089489,-0.014819001785424724,-0.06115179026164341,-0.011817688767253975
59,2004-12-22,52.389999,3000,0.00973473963990723,0.0003817713376934595,-0.029776618243493425,0.00973473963990723
60,2004-12-23,52.900002,5100,-0.019092683588178283,-0.009262797381368815,-0.04763706814226587,0.004725897741931995
61,2004-12-27,51.889999,7400,0.0057814608938420164,-0.025823858659160925,-0.021198651401014845,0.03353251172735616
62,2004-12-28,52.189999,4500,0.006323069674709192,-0.038129872353513505,-0.02529220205579996,0.03755514538331384
63,2004-12-29,52.52,7700,-0.0020944402132522244,-0.04702972201066269,-0.016184348819497374,0.02170601675552164
64,2004-12-30,52.41,4100,0.0,-0.030146880366342277,-0.00686893722572024,0.03739742415569558
65,2004-12-31,52.41,2400,-0.03548942949818734,-0.038733047128410525,-0.0009539973287540082,0.05323413470711702
66,2005-01-03,50.549999,19700,-0.0069237983565538785,0.0047478141394226014,0.04391693459776347,0.10959448288020734
67,2005-01-04,50.200001,17100,-0.002988087589878785,0.013346573439311227,0.05318721009587235,0.12131473861922815
68,2005-01-05,50.049999,49200,0.01558447583585365,0.03236761303431801,0.04855146950152789,0.13086911350387842
69,2005-01-06,50.830002,11600,-0.008853058868657948,0.024001513909049255,0.03639578845580216,0.1040723350748638
70,2005-01-07,50.380001,17300,0.008138149898011982,0.03930130926357056,0.050019868002781465,0.1250496005349424
71,2005-01-10,50.790001,10100,0.0015750738024202793,0.03898403152226759,0.0464658585062836,0.1112423289773119
72,2005-01-11,50.869999,10600,0.01572634196434719,0.03931590405574803,0.054255986912836285,0.13819546172981045
73,2005-01-12,51.669998,2500,0.007354383872823167,0.015676447287650275,0.04799698269777375,0.1335398155037668
74,2005-01-13,52.049999,10700,0.0059558502585177475,0.012103765842531589,0.030931816156230862,0.12699329734857434
75,2005-01-14,52.360001,15600,0.007830385641131032,0.010313235097149986,0.03838804357547665,0.11993884415701217
76,2005-01-18,52.77,20200,0.001894997157475764,0.007201099109342302,0.046048910365737994,0.14174720485124115
77,2005-01-19,52.869999,15200,-0.007376565299348714,0.014374919886039672,0.06090412447331439,0.12559105590298958
78,2005-01-20,52.48,4100,0.003810975609756184,0.03182168445121958,0.0725991044207317,0.15815546874999997
79,2005-01-21,52.68,12000,0.004176195899772139,0.018602885345482045,0.07441150341685643,0.14502657555049359
80,2005-01-24,52.900002,14300,0.004725897741931995,0.027788222011787544,0.06086950620531173,0.15463137411601613
81,2005-01-25,53.150002,8900,0.009031025059980324,0.03857006439999755,0.06641576419884232,0.16952018176782002
82,2005-01-26,53.630001,7800,0.009696084100389912,0.04586982946354978,0.052396008719074905,0.18925970185978547
83,2005-01-27,54.150002,26100,-0.0090489747350333,0.03951983233537093,0.06925207500454023,0.17026771300950272
84,2005-01-28,53.66,32400,0.01323143868803589,0.054789377562430186,0.09150204994409261,0.1571002609019756
85,2005-01-31,54.369999,11000,0.01526580863096938,0.03218686834995155,0.07890382709037747,0.15780765418075515
86,2005-02-01,55.200001,19400,0.016123169997768638,0.02681157560123948,0.062318803218862406,0.15652171817895444
87,2005-02-02,56.09,31700,0.0035657158138704403,0.006239953645926111,0.07416651809591723,0.1538598858976643
88,2005-02-03,56.290001,15400,0.005507141490368905,0.0286019003623752,0.057203711899028065,0.1414105322186796
89,2005-02-04,56.599998,30000,-0.008480548002846255,0.03480569027581937,0.073851610383449,0.1312721071120886
90,2005-02-07,56.119999,23900,0.009978635245520895,0.045260175432290994,0.07483964851816904,0.11154672329912185
91,2005-02-08,56.68,69800,-0.004234315455187043,0.034580081157374876,0.07762882851093855,0.07639375441072693
92,2005-02-09,56.439999,23000,0.02586823220886303,0.06750533429314909,0.10134658223505633,0.0903614828200121
93,2005-02-10,57.900002,18600,0.011571640360219737,0.02780649299459448,0.10155434882368386,0.07012084386456507
94,2005-02-11,58.57,37300,0.0015366228444595453,0.03773261055147681,0.08195320129759254,0.04319614136930161
95,2005-02-14,58.66,46900,-0.00034096488237289613,0.028298670303443574,0.05847255369928406,0.0460279747698602
96,2005-02-15,58.639999,25200,0.02745567918580627,0.04160987451585729,0.07349935323157153,0.06190315589875772
97,2005-02-16,60.25,30800,-0.01228219087136928,0.03170124481327785,0.059585062240663955,0.04647301244813273
